imu,t,o,r,p,y,temp,press,alt
IMU1,16.31,1,-101.33,-4.03,-0.0,25.4,103322.0,164.95
IMU2,16.31,1,-26.8,-4.33,-29.59,25.1,103485.0,178.3
IMU3,16.31,1,-107.55,-2.44,-73.11,25.9,103557.0,184.19
IMU1,16.32,1,-101.33,-4.03,-0.0,25.4,103322.0,164.95
IMU2,16.32,1,-26.69,-4.28,-29.69,25.1,103485.0,178.3
IMU3,16.32,1,-107.55,-2.47,-73.08,25.9,103557.0,184.19
IMU1,16.33,1,-101.34,-4.03,-0.0,25.4,103322.0,164.95
IMU2,16.33,1,-26.56,-4.21,-30.12,25.1,103485.0,178.3
IMU3,16.33,1,-107.54,-2.47,-73.08,25.9,103557.0,184.19
IMU1,16.34,1,-101.34,-4.02,-0.0,25.4,103322.0,164.95
IMU2,16.34,1,-26.42,-4.13,-30.55,25.1,103485.0,178.3
IMU3,16.34,1,-107.54,-2.47,-73.07,25.9,103557.0,184.19
IMU1,16.35,1,-101.34,-4.02,-0.0,25.4,103322.0,164.95
IMU2,16.35,1,-26.34,-4.1,-30.62,25.1,103485.0,178.3
IMU3,16.35,1,-107.54,-2.5,-73.04,25.9,103557.0,184.19
IMU1,16.36,1,-101.34,-4.02,-0.0,25.4,103322.0,164.95
IMU2,16.36,1,-26.24,-4.07,-30.71,25.1,103485.0,178.3
IMU3,16.36,1,-107.51,-2.39,-73.17,25.9,103557.0,184.19
IMU1,16.37,1,-101.34,-4.02,-0.0,25.4,103322.0,164.95
IMU2,16.37,1,-26.15,-4.04,-30.79,25.1,103485.0,178.3
IMU3,16.37,1,-107.48,-2.28,-73.29,25.9,103557.0,184.19
IMU1,16.38,1,-101.35,-4.02,-0.0,25.4,103322.0,164.95
IMU2,16.38,1,-26.07,-4.01,-30.86,25.1,103485.0,178.3
IMU3,16.38,1,-107.5,-2.35,-73.23,25.9,103557.0,184.19
IMU1,16.39,1,-101.35,-4.02,-0.0,25.4,103322.0,164.95
IMU2,16.39,1,-25.99,-3.98,-30.95,25.1,103485.0,178.3
IMU3,16.39,1,-107.51,-2.41,-73.17,25.9,103557.0,184.19
IMU1,16.4,1,-101.35,-4.02,-0.0,25.4,103322.0,164.95
IMU2,16.4,1,-25.9,-3.95,-31.03,25.1,103485.0,178.3
IMU3,16.4,1,-107.48,-2.31,-73.29,25.9,103557.0,184.19
IMU1,16.41,1,-101.35,-4.02,-0.0,25.4,103317.0,164.54
IMU2,16.41,1,-25.82,-3.93,-31.11,25.1,103482.0,178.05
IMU3,16.41,1,-107.46,-2.22,-73.37,25.9,103562.0,184.6
IMU1,16.42,1,-101.35,-4.02,-0.0,25.4,103317.0,164.54
IMU2,16.42,1,-26.02,-4.0,-30.87,25.1,103482.0,178.05
IMU3,16.42,1,-107.44,-2.13,-73.44,25.9,103562.0,184.6
IMU1,16.43,1,-101.36,-4.02,-0.0,25.4,103317.0,164.54
IMU2,16.43,1,-26.23,-4.08,-30.61,25.1,103482.0,178.05
IMU3,16.43,1,-107.41,-2.03,-73.56,25.9,103562.0,184.6
IMU1,16.44,1,-101.36,-4.02,-0.0,25.4,103317.0,164.54
IMU2,16.44,1,-26.42,-4.16,-30.36,25.1,103482.0,178.05
IMU3,16.44,1,-107.39,-1.93,-73.68,25.9,103562.0,184.6
IMU1,16.45,1,-101.37,-4.02,-0.0,25.4,103317.0,164.54
IMU2,16.45,1,-26.62,-4.23,-30.11,25.1,103482.0,178.05
IMU3,16.45,1,-107.36,-1.84,-73.79,25.9,103562.0,184.6
IMU1,16.46,1,-101.37,-4.02,-0.0,25.4,103317.0,164.54
IMU2,16.46,1,-26.52,-4.19,-30.21,25.1,103482.0,178.05
IMU3,16.46,1,-107.34,-1.76,-73.91,25.9,103562.0,184.6
IMU1,16.47,1,-101.37,-4.02,-0.0,25.4,103317.0,164.54
IMU2,16.47,1,-26.42,-4.16,-30.3,25.1,103482.0,178.05
IMU3,16.47,1,-107.44,-1.97,-73.65,25.9,103562.0,184.6
IMU1,16.48,1,-101.37,-4.02,-0.0,25.4,103317.0,164.54
IMU2,16.48,1,-26.32,-4.12,-30.39,25.1,103482.0,178.05
IMU3,16.48,1,-107.54,-2.18,-73.4,25.9,103562.0,184.6
IMU1,16.49,1,-101.37,-4.02,-0.0,25.4,103317.0,164.54
IMU2,16.49,1,-26.52,-4.2,-30.14,25.1,103482.0,178.05
IMU3,16.49,1,-107.57,-2.27,-73.31,25.9,103562.0,184.6
IMU1,16.5,1,-101.37,-4.02,-0.0,25.4,103317.0,164.54
IMU2,16.5,1,-26.7,-4.27,-29.89,25.1,103482.0,178.05
IMU3,16.5,1,-107.57,-2.3,-73.27,25.9,103562.0,184.6
IMU1,16.51,1,-101.38,-4.02,-0.0,25.4,103319.0,164.7
IMU2,16.51,1,-26.86,-4.33,-29.68,25.1,103479.0,177.81
IMU3,16.51,1,-107.57,-2.33,-73.23,25.9,103563.0,184.68
IMU1,16.52,1,-101.38,-4.02,-0.0,25.4,103319.0,164.7
IMU2,16.52,1,-26.75,-4.29,-29.78,25.1,103479.0,177.81
IMU3,16.52,1,-107.54,-2.23,-73.36,25.9,103563.0,184.68
IMU1,16.53,1,-101.38,-4.02,-0.0,25.4,103319.0,164.7
IMU2,16.53,1,-26.92,-4.36,-29.55,25.1,103479.0,177.81
IMU3,16.53,1,-107.52,-2.13,-73.48,25.9,103563.0,184.68
IMU1,16.54,1,-101.38,-4.02,-0.0,25.4,103319.0,164.7
IMU2,16.54,1,-26.81,-4.31,-29.65,25.1,103479.0,177.81
IMU3,16.54,1,-107.52,-2.17,-73.43,25.9,103563.0,184.68
IMU1,16.55,1,-101.38,-4.02,-0.0,25.4,103319.0,164.7
IMU2,16.55,1,-26.7,-4.27,-29.75,25.1,103479.0,177.81
IMU3,16.55,1,-107.53,-2.21,-73.38,25.9,103563.0,184.68
IMU1,16.56,1,-101.39,-4.02,-0.0,25.4,103319.0,164.7
IMU2,16.56,1,-26.59,-4.23,-29.86,25.1,103479.0,177.81
IMU3,16.56,1,-107.5,-2.11,-73.5,25.9,103563.0,184.68
IMU1,16.57,1,-101.39,-4.02,-0.0,25.4,103319.0,164.7
IMU2,16.57,1,-26.48,-4.19,-29.96,25.1,103479.0,177.81
IMU3,16.57,1,-107.53,-2.2,-73.41,25.9,103563.0,184.68
IMU1,16.58,1,-101.39,-4.02,-0.0,25.4,103319.0,164.7
IMU2,16.58,1,-26.38,-4.15,-30.06,25.1,103479.0,177.81
IMU3,16.58,1,-107.55,-2.28,-73.32,25.9,103563.0,184.68
IMU1,16.59,1,-101.4,-4.01,-0.0,25.4,103319.0,164.7
IMU2,16.59,1,-26.56,-4.22,-29.82,25.1,103479.0,177.81
IMU3,16.59,1,-107.52,-2.18,-73.44,25.9,103563.0,184.68
IMU1,16.6,1,-101.4,-4.01,-0.0,25.4,103319.0,164.7
IMU2,16.6,1,-26.74,-4.29,-29.59,25.1,103479.0,177.81
IMU3,16.6,1,-107.49,-2.08,-73.56,25.9,103563.0,184.68
IMU1,16.61,1,-101.4,-4.01,-0.0,25.4,103316.0,164.46
IMU2,16.61,1,-26.63,-4.25,-29.7,25.1,103481.0,177.97
IMU3,16.61,1,-107.47,-2.03,-73.59,25.9,103557.0,184.19
IMU1,16.62,1,-101.41,-4.01,-0.0,25.4,103316.0,164.46
IMU2,16.62,1,-26.8,-4.31,-29.47,25.1,103481.0,177.97
IMU3,16.62,1,-107.46,-1.99,-73.62,25.9,103557.0,184.19
IMU1,16.63,1,-101.41,-4.01,-0.0,25.4,103316.0,164.46
IMU2,16.63,1,-26.69,-4.27,-29.57,25.1,103481.0,177.97
IMU3,16.63,1,-107.44,-1.94,-73.65,25.9,103557.0,184.19
IMU1,16.64,1,-101.41,-4.01,-0.0,25.4,103316.0,164.46
IMU2,16.64,1,-26.86,-4.34,-29.34,25.1,103481.0,177.97
IMU3,16.64,1,-107.42,-1.9,-73.67,25.9,103557.0,184.19
IMU1,16.65,1,-101.41,-4.01,-0.0,25.4,103316.0,164.46
IMU2,16.65,1,-27.02,-4.4,-29.12,25.1,103481.0,177.97
IMU3,16.65,1,-107.41,-1.85,-73.7,25.9,103557.0,184.19
IMU1,16.66,1,-101.42,-4.01,-0.0,25.4,103316.0,164.46
IMU2,16.66,1,-27.17,-4.46,-28.9,25.1,103481.0,177.97
